,Unnamed: 0,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark,Beitou,Daan District,Datong District,Nangang District,Neihu District,Songshan District,Wanhua District,Wenshan District,Xinyi District,Zhongshan Area,Zhongzheng District,shihlin,Ground floor,Lifting machinery,Lifting plane,Not Applicable_x,Other,Ramp machinery,Ramp plane,Tower parking,Brickwork,Civil engineering,Earthen masonry,Earthwork,Not Applicable_y,Prestressed concrete construction,Reinforced concrete construction,See license_x,See other registration items_x,Steel reinforced concrete construction,Stone building,Strengthen brickwork,Wall type reinforced concrete construction,Wooden,For business,For commercial use,For work,Parking space,Resident,Residential business,See license_y,See other registration items_y,industrial use,Building,Garage,Land,Premises (land + building),Premises (land + building) + parking space
47,47,6.47,82.0,31.52,0,0,0,1,0,2450000.0,77728.42639593907,31.52,2450000,2019,10,1937.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
48,48,10.42,107.0,155.09,3,2,2,1,1,34660000.0,223483.13882261913,14.46,1700000,2019,9,1912.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
49,49,6.97,107.0,138.25,2,2,1,1,1,27900000.0,201808.3182640145,37.72,2700000,2019,8,1912.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50,50,42.0,63.0,105.97,3,2,2,1,0,21500000.0,202887.60970085874,0.0,0,2019,10,1956.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
51,51,5.22,67.0,56.9,2,1,1,1,1,8500000.0,149384.88576449914,0.0,0,2019,10,1952.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
52,52,2246.29,0.0,0.0,0,0,0,1,0,135900000.0,60499.7573777206,0.0,0,2019,10,2019.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
53,53,2602.53,0.0,0.0,0,0,0,1,0,50000000.0,19212.07440452175,0.0,0,2019,10,2019.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
54,54,17.59,98.0,124.36,2,2,1,1,1,13000000.0,104535.22032807977,47.42,0,2019,10,1921.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
55,55,10.2,86.0,70.18,2,1,1,1,1,8400000.0,119692.22000569962,0.0,0,2019,10,1933.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
56,56,94.12,65.0,102.92,4,2,2,1,0,11000000.0,106879.12942090943,0.0,0,2019,10,1954.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
57,57,7.88,98.0,48.8,0,0,0,0,1,4880000.0,100000.0,0.0,0,2019,10,1921.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
58,58,33.24,71.0,114.1,3,2,2,1,0,15500000.0,135845.74934268187,0.0,0,2019,9,1948.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
59,59,215.29,0.0,0.0,0,0,0,1,0,538213.0,2499.94426122904,0.0,0,2019,10,2019.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
60,60,30.75,64.98,83.48,2,1,1,1,0,17800000.0,213224.72448490656,0.0,0,2019,10,1954.02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
61,61,115.0,75.0,107.66,2,1,3,1,0,42000000.0,390117.0351105332,0.0,0,2019,9,1944.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
62,62,4.13,67.0,25.5,1,0,1,1,0,2500000.0,98039.21568627447,0.0,0,2019,10,1952.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
63,63,95.71,0.0,0.0,0,0,0,1,0,68432650.0,715000.0,0.0,0,2019,11,2019.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
64,64,28.4,65.0,91.42,3,2,2,1,0,10000000.0,109385.25486764383,0.0,0,2019,9,1954.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
65,65,25.38,80.0,115.37,3,2,1,1,0,31600000.0,273901.3608390396,0.0,0,2019,7,1939.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
66,66,20.74,71.0,146.51999999999995,0,2,1,1,1,55000000.0,375375.3753753753,0.0,0,2019,8,1948.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
67,67,50.0,58.92857142857143,138.81,4,2,2,1,0,34500000.0,248541.1713853469,0.0,0,2019,7,1960.0714285714291,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
68,68,0.1,106.0,32.09,0,0,0,1,1,3100000.0,96603.30320972264,32.07,3100000,2019,10,1913.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
69,69,3.31,96.0,38.94,0,0,0,0,1,14000000.0,359527.478171546,0.0,0,2019,10,1923.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
70,70,11.75,94.0,54.38,1,1,1,1,1,12880000.0,236851.7837440236,0.0,0,2019,10,1925.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
71,71,8.2,0.0,91.09,0,0,0,0,1,24000000.0,263475.6833900538,0.0,0,2019,10,2019.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
72,72,31.5,87.0,61.78,0,0,0,0,0,14700000.0,237941.08125606988,0.0,0,2019,10,1932.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
73,73,24.0,60.0,80.57,3,2,1,1,0,15700000.0,194861.611021472,0.0,0,2019,10,1959.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
74,74,36.33,78.0,109.0,3,2,2,1,1,12800000.0,117431.19266055046,0.0,0,2019,9,1941.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
75,75,53.48,102.0,206.69,4,2,2,1,1,13000000.0,62896.12463109004,0.0,0,2014,3,1912.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
76,76,47.09,89.0,155.26999999999995,3,2,2,1,0,24100000.0,155213.49906614286,0.0,0,2019,10,1930.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
