district,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
7,16.09,Address,86.0,114.42,2,1,1,1,1,16500000.0,144205.55846879914,0.0,0,2019,4,1933.0,1,1,1
12,30.0,Address,73.0,114.75,3,2,1,1,0,22560000.0,196601.30718954245,0.0,0,2019,3,1946.0,3,1,0
12,7.53,Address,78.22222222222223,59.95,1,2,1,1,1,15500000.0,258548.79065888238,0.0,0,2019,4,1940.7777777777774,1,1,0
12,9.29,Address,96.0,56.17,1,1,1,1,1,20200000.0,359622.57432793314,3.74,0,2019,3,1923.0,1,1,1
12,29.81,Address,70.0,84.29,3,1,1,1,0,20200000.0,239648.8314153517,0.0,0,2019,4,1949.0,2,1,0
1,22.0,Address,71.0,89.28,3,2,1,1,0,8880000.0,99462.36559139783,0.0,0,2019,4,1948.0,2,1,0
1,36.5,Address,71.0,102.57,3,2,1,1,1,21700000.0,211562.83513697964,0.0,0,2019,4,1948.0,1,1,0
2,30.25,Address,63.56521739130435,82.8,2,2,1,1,0,4674900.0,56460.14492753622,0.0,0,2019,4,1955.434782608696,1,1,0
10,38.5,Address,65.0,152.79,5,2,2,1,0,40000000.0,261797.2380391387,0.0,0,2019,3,1954.0,1,1,0
6,24.83,Address,100.0,172.76,2,2,2,1,1,22500000.0,130238.48112989117,39.58,2500000,2019,3,1919.0,1,1,1
12,30.79,Address,0.0,36.12,3,2,2,1,0,18000000.0,498338.87043189385,0.0,0,2019,4,2019.0,1,1,0
12,26.81,Address,65.0,118.14,4,2,2,1,0,30080000.0,254613.17081428808,0.0,0,2019,4,1954.0,2,1,0
12,24.3,Address,72.80952380952381,94.23,3,2,1,1,0,20500000.0,217552.79634935802,0.0,0,2019,4,1946.1904761904761,1,1,0
12,27.27,Address,72.0,87.24,3,2,1,1,0,19680000.0,225584.5942228336,0.0,0,2019,3,1947.0,1,1,0
7,32.5,Address,62.0,87.75,3,2,1,1,0,7920000.0,90256.41025641024,0.0,0,2019,3,1957.0,1,1,0
3,41.59,Address,102.0,180.62,3,2,2,1,1,30000000.0,166094.56317129885,0.0,0,2019,4,1917.0,2,1,1
3,22.26,Address,102.0,87.75999999999998,2,1,1,1,1,16000000.0,182315.4056517776,0.0,0,2019,4,1917.0,1,1,0
11,19.65,Address,98.0,111.73,2,1,1,1,1,23880000.0,213729.5265371879,26.16,1600000,2019,4,1921.0,1,1,1
4,26.01,Address,100.0,171.36,3,2,2,1,1,32000000.0,186741.36321195145,42.93,2500000,2019,4,1919.0,1,1,1
9,34.27,Address,79.0,132.99,4,2,2,1,1,34680000.0,260771.48657793817,0.0,0,2019,4,1940.0,1,1,0
11,35.8,Address,89.0,151.20999999999995,3,2,2,1,1,30500000.0,201706.2363600291,0.0,0,2019,4,1930.0,1,1,1
4,47.08,Address,80.0,157.25,3,2,2,1,0,20880000.0,132782.19395866455,0.0,0,2019,4,1939.0,8,1,2
11,74.54,Address,95.0,276.68,3,2,2,1,1,88880000.0,321237.530721411,52.2,4000000,2019,3,1924.0,1,1,1
3,11.01,Address,75.0,43.65,1,1,1,1,1,4900000.0,112256.58648339061,0.0,0,2019,4,1944.0,2,1,0
3,12.63,Address,70.0,84.09,2,2,1,1,1,8000000.0,95136.16363420144,0.0,0,2019,4,1949.0,2,1,0
7,97.69,Address,64.0,103.75,4,2,2,1,0,13360000.0,128771.0843373494,0.0,0,2019,4,1955.0,1,1,0
12,27.89,Address,94.0,166.31,3,2,2,1,1,37500000.0,225482.5326198064,33.1,3200000,2019,4,1925.0,1,1,2
7,14.25,Address,81.0,50.16,0,0,0,0,0,6620000.0,131977.67145135568,0.0,0,2019,4,1938.0,1,1,0
6,43.37,Address,102.0,274.47,3,2,2,1,1,38500000.0,140270.33919918386,76.26,5000000,2019,4,1917.0,1,1,2
6,19.55,Address,93.0,156.42000000000004,3,2,2,1,1,32680000.0,208924.68993734816,26.12,2500000,2019,2,1926.0,1,1,1
10,28.92,Address,73.0,136.64,3,2,2,1,0,35500000.0,259806.79156908664,0.0,0,2019,4,1946.0,2,1,0
1,26.5,Address,62.0625,74.54,2,2,1,1,0,10500000.0,140863.9656560236,0.0,0,2019,4,1956.9375,1,1,0
12,16.88,Address,84.0,80.63,1,1,1,1,1,14000000.0,173632.64293687214,19.35,0,2019,4,1935.0,2,1,1
12,8.53,Address,96.0,30.64,1,1,1,1,1,8900000.0,290469.97389033943,0.0,0,2019,4,1923.0,1,1,0
12,11.11,Address,82.1,73.61,3,2,2,1,0,10000000.0,135851.10718652356,0.0,0,2019,4,1936.9,1,1,0
12,13.12,Address,76.0,86.96,3,2,2,1,1,23720000.0,272769.0892364306,0.0,0,2019,4,1943.0,2,1,0
12,45.0,Address,58.92857142857143,104.46,3,2,2,1,0,17000000.0,162741.71931839938,0.0,0,2019,3,1960.071428571429,1,1,0
3,38.72,Address,107.0,184.31,3,2,2,1,1,20600000.0,111768.21659161196,47.62,0,2019,4,1912.0,1,1,1
7,35.66,Address,75.0,119.08,3,2,2,1,0,14500000.0,121766.8794088008,0.0,0,2019,3,1944.0,1,1,0
3,35.18,Address,107.0,210.36,3,2,2,1,1,37450000.0,178028.14223236355,39.56,2600000,2019,3,1912.0,1,1,1
3,35.18,Address,107.0,210.36,3,2,2,1,1,38880000.0,184826.01254991442,39.56,2700000,2019,2,1912.0,1,1,1
3,15.41,Address,87.0,70.66,1,2,1,1,1,10880000.0,153976.7902632324,0.0,0,2019,4,1932.0,1,1,0
3,259.88,Address,0.0,0.0,0,0,0,1,0,107682000.0,414352.77820532565,0.0,0,2019,4,2019.0,1,0,0
3,88.0,Address,0.0,0.0,0,0,0,1,0,36469400.0,414425.0,0.0,0,2019,4,2019.0,1,0,0
3,1.0,Address,0.0,0.0,0,0,0,1,0,411000.0,411000.0,0.0,0,2019,4,2019.0,1,0,0
3,31.93,Address,108.0,295.11,4,2,2,1,1,46000000.0,155874.080851208,76.34,4300000,2016,3,1908.0,1,1,2
3,30.98,Address,108.0,288.6,3,2,2,1,1,43360000.0,150242.55024255026,76.34,3900000,2016,2,1908.0,1,1,2
