district,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
11,1.87,0.0,0.0,0,0,0,1,0,8357.0,4468.983957219251,0.0,0,2019,4,2019.0,1,0,0
11,18.25,62.325,45.84,1,1,1,1,0,7000000.0,152705.06108202445,0.0,0,2019,4,1956.675,1,1,0
6,17.93,92.0,70.47,0,1,2,1,1,15100000.0,214275.57826025263,13.81,0,2019,4,1927.0,1,1,1
8,19.25,0.0,0.0,0,0,0,1,0,1056440.0,54880.0,0.0,0,2019,4,2019.0,1,0,0
6,27.47,104.0,149.15,2,1,1,1,1,25400000.0,170298.35735836407,47.15,2600000,2019,3,1915.0,1,1,1
8,4.96,95.0,41.86,0,0,1,1,1,8150000.0,194696.607740086,0.0,0,2019,4,1924.0,1,1,0
6,14.35,70.0,53.47,3,2,2,1,0,5595000.0,104638.11483074618,0.0,0,2019,4,1949.0,2,1,0
8,5.73,97.0,75.97,1,1,1,1,1,9850000.0,129656.44333289455,39.12,0,2019,4,1922.0,1,1,2
8,7.8,108.0,120.81,2,2,1,1,1,35880000.0,296995.28184752923,29.77,3800000,2019,4,1911.0,1,1,1
8,20.16,108.0,263.58,3,2,3,1,1,86360000.0,327642.4614917672,29.77,4000000,2019,4,1911.0,1,1,1
8,7.67,108.0,91.03,2,2,1,1,1,30580000.0,335933.20883225306,0.0,0,2019,3,1911.0,1,1,0
8,18.85,108.0,252.05,3,2,2,1,1,75500000.0,299543.74132116645,29.77,4000000,2019,3,1911.0,1,1,1
8,7.8,108.0,120.81,2,2,1,1,1,34800000.0,288055.62453439285,29.77,2800000,2019,3,1911.0,1,1,1
8,1.44,0.0,0.0,0,0,0,1,0,1276000.0,886111.1111111111,0.0,0,2019,4,2019.0,1,0,0
8,15.5,0.0,0.0,0,0,0,1,0,13601000.0,877483.8709677418,0.0,0,2019,4,2019.0,1,0,0
10,3.09,64.0,24.83,0,1,1,1,1,4980000.0,200563.83407168745,0.0,0,2019,4,1955.0,9,1,0
2,0.4,92.0,34.18,1,1,1,1,1,4900000.0,143358.68929198358,0.0,0,2019,3,1927.0,1,1,0
2,3.66,100.0,33.71,0,0,0,1,1,2200000.0,65262.533372886384,33.71,2200000,2019,4,1919.0,0,0,1
2,9.68,108.0,124.8,2,2,1,1,0,16000000.0,128205.1282051282,37.74,1950000,2019,3,1911.0,1,1,1
2,15.6,108.0,188.49,3,2,2,1,0,24650000.0,130776.1684970025,43.59,2050000,2019,4,1911.0,1,1,1
10,45.25,61.72727272727273,137.31,3,2,2,1,0,30880000.0,224892.57883621004,0.0,0,2019,4,1957.2727272727273,1,1,0
1,18.22,83.0,76.9,3,1,1,1,1,12900000.0,167750.32509752925,0.0,0,2019,4,1936.0,1,1,0
1,45.35,100.0,149.9,4,2,2,1,1,25500000.0,170113.40893929286,0.0,0,2019,3,1919.0,2,1,0
1,149.94,107.0,231.08,4,2,2,1,1,36300000.0,157088.45421499046,35.02,2500000,2019,3,1912.0,1,1,1
10,9.69,99.0,81.34,1,1,1,1,1,14400000.0,177034.6692894025,0.0,0,2019,3,1920.0,1,1,1
1,64.46,85.0,171.32,3,2,2,1,1,19500000.0,113822.08732197057,0.0,0,2019,3,1934.0,1,1,2
10,8.24,108.0,95.77,2,1,1,1,1,28580000.0,298423.3058369009,13.93,2300000,2019,4,1911.0,2,1,1
10,8.24,108.0,95.77,2,1,1,1,1,28620000.0,298840.97316487425,13.93,2300000,2019,4,1911.0,2,1,1
10,5.72,108.0,57.86,1,1,1,1,1,17300000.0,298997.58036640164,0.0,0,2019,4,1911.0,2,1,0
