Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
1403,1.92,Address,99.0,25.16,0,0,0,1,1,2400000.0,95389.50715421305,25.16,2400000,2019,4,1920.0,0,0,1
1404,31.03,Address,105.0,258.3,3,2,2,1,1,36000000.0,139372.82229965154,77.82,0,2019,4,1914.0,1,1,2
1413,2004.18,Address,0.0,0.0,0,0,0,1,0,640577673.0,319620.828967458,0.0,0,2019,4,2019.0,2,0,0
1414,37.68,Address,98.0,126.77,2,2,1,1,1,19080000.0,150508.7954563383,40.14,0,2019,4,1921.0,1,1,1
1416,8.85,Address,104.0,96.3,3,1,2,1,1,16200000.0,168224.29906542058,16.88,0,2019,4,1915.0,2,1,1
1543,19.21,Address,97.0,97.48,0,2,1,1,1,20880000.0,214197.7841608535,0.0,2600000,2019,4,1922.0,1,2,2
1589,3.18,Quotient,93.0,46.32,0,0,0,1,1,1900000.0,41018.99827288428,46.31,1900000,2019,4,1926.0,0,0,1
1592,43.66,Address,95.0,207.0,3,2,2,1,1,38000000.0,183574.87922705317,0.0,0,2019,4,1924.0,1,1,1
1594,40.07,Address,105.0,98.16,2,1,1,1,1,11180000.0,113895.6805215974,25.3,0,2019,4,1914.0,1,1,1
1595,42.2,Address,77.0,114.71,3,2,2,1,0,18350000.0,159968.61651120216,0.0,0,2019,4,1942.0,1,1,0
